Type,Mutability,Description,Syntax examples
bool,immutable,Boolean value,TrueFalse
bytearray,mutable,Sequence ofbytes,"bytearray(b'Some ASCII')bytearray(b""Some ASCII"")bytearray([119,105,107,105])"
bytes,immutable,Sequence of bytes,"b'Some ASCII'b""Some ASCII""bytes([119,105,107,105])"
complex,immutable,Complex numberwith real and imaginary parts,3+2.7j3+2.7j
dict,mutable,"Associative array(or dictionary) of key and value pairs; can contain mixed types (keys and values), keys must be a hashable type","{'key1':1.0,3:False}{}"
types.EllipsisType,immutable,Anellipsisplaceholder to be used as an index inNumPyarrays,...Ellipsis
float,immutable,Double-precisionfloating-point number. The precision is machine-dependent but in practice is generally implemented as a 64-bitIEEE 754number with 53 bits of precision.[118],1.33333
frozenset,immutable,"Unorderedset, contains no duplicates; can contain mixed types, if hashable","frozenset([4.0,'string',True])"
int,immutable,Integerof unlimited magnitude[119],42
list,mutable,"List, can contain mixed types","[4.0,'string',True][]"
types.NoneType,immutable,"An object representing the absence of a value, often callednullin other languages",None
types.NotImplementedType,immutable,A placeholder that can be returned fromoverloaded operatorsto indicate unsupported operand types.,NotImplemented
range,immutable,Animmutable sequenceof numbers commonly used for looping a specific number of times inforloops[120],"range(−1,10)range(10,−5,−2)"
set,mutable,"Unorderedset, contains no duplicates; can contain mixed types, if hashable","{4.0,'string',True}set()"
str,immutable,Acharacter string: sequence of Unicode codepoints,"'Wikipedia'""Wikipedia""""""""Spanningmultiplelines""""""Spanningmultiplelines"
tuple,immutable,Can contain mixed types,"(4.0,'string',True)('single element',)()"
